Plan ID*,Rating Area ID*,Tobacco*,Age*,Standard Rate*,Tobacco Rate*
49316MN1070001,Rating Area 1,No Preference,0-14,328.59,
49316MN1070001,Rating Area 1,No Preference,15,328.59,
49316MN1070001,Rating Area 1,No Preference,16,328.59,
49316MN1070001,Rating Area 1,No Preference,17,328.59,
49316MN1070001,Rating Area 1,No Preference,18,328.59,
49316MN1070001,Rating Area 1,No Preference,19,328.59,
49316MN1070001,Rating Area 1,No Preference,20,328.59,
49316MN1070001,Rating Area 1,No Preference,21,369.21,
49316MN1070001,Rating Area 1,No Preference,22,369.21,
49316MN1070001,Rating Area 1,No Preference,23,369.21,
49316MN1070001,Rating Area 1,No Preference,24,369.21,
49316MN1070001,Rating Area 1,No Preference,25,370.68,
49316MN1070001,Rating Area 1,No Preference,26,378.07,
49316MN1070001,Rating Area 1,No Preference,27,386.93,
49316MN1070001,Rating Area 1,No Preference,28,401.33,
49316MN1070001,Rating Area 1,No Preference,29,413.14,
49316MN1070001,Rating Area 1,No Preference,30,419.05,
49316MN1070001,Rating Area 1,No Preference,31,427.91,
49316MN1070001,Rating Area 1,No Preference,32,436.77,
49316MN1070001,Rating Area 1,No Preference,33,442.31,
49316MN1070001,Rating Area 1,No Preference,34,448.22,
49316MN1070001,Rating Area 1,No Preference,35,451.17,
49316MN1070001,Rating Area 1,No Preference,36,454.13,
49316MN1070001,Rating Area 1,No Preference,37,457.08,
49316MN1070001,Rating Area 1,No Preference,38,460.03,
49316MN1070001,Rating Area 1,No Preference,39,465.94,
49316MN1070001,Rating Area 1,No Preference,40,471.85,
49316MN1070001,Rating Area 1,No Preference,41,480.71,
49316MN1070001,Rating Area 1,No Preference,42,489.2,
49316MN1070001,Rating Area 1,No Preference,43,501.01,
49316MN1070001,Rating Area 1,No Preference,44,515.78,
49316MN1070001,Rating Area 1,No Preference,45,533.14,
49316MN1070001,Rating Area 1,No Preference,46,553.81,
49316MN1070001,Rating Area 1,No Preference,47,577.07,
49316MN1070001,Rating Area 1,No Preference,48,603.65,
49316MN1070001,Rating Area 1,No Preference,49,629.87,
49316MN1070001,Rating Area 1,No Preference,50,659.41,
49316MN1070001,Rating Area 1,No Preference,51,688.57,
49316MN1070001,Rating Area 1,No Preference,52,720.69,
49316MN1070001,Rating Area 1,No Preference,53,753.18,
49316MN1070001,Rating Area 1,No Preference,54,788.26,
49316MN1070001,Rating Area 1,No Preference,55,823.33,
49316MN1070001,Rating Area 1,No Preference,56,861.36,
49316MN1070001,Rating Area 1,No Preference,57,899.76,
49316MN1070001,Rating Area 1,No Preference,58,940.74,
49316MN1070001,Rating Area 1,No Preference,59,961.05,
49316MN1070001,Rating Area 1,No Preference,60,1002.03,
49316MN1070001,Rating Area 1,No Preference,61,1037.47,
49316MN1070001,Rating Area 1,No Preference,62,1060.73,
49316MN1070001,Rating Area 1,No Preference,63,1089.9,
49316MN1070001,Rating Area 1,No Preference,64 and over,1107.63,
49316MN1070001,Rating Area 2,No Preference,0-14,280.74,
49316MN1070001,Rating Area 2,No Preference,15,280.74,
49316MN1070001,Rating Area 2,No Preference,16,280.74,
49316MN1070001,Rating Area 2,No Preference,17,280.74,
49316MN1070001,Rating Area 2,No Preference,18,280.74,
49316MN1070001,Rating Area 2,No Preference,19,280.74,
49316MN1070001,Rating Area 2,No Preference,20,280.74,
49316MN1070001,Rating Area 2,No Preference,21,315.43,
49316MN1070001,Rating Area 2,No Preference,22,315.43,
49316MN1070001,Rating Area 2,No Preference,23,315.43,
49316MN1070001,Rating Area 2,No Preference,24,315.43,
49316MN1070001,Rating Area 2,No Preference,25,316.7,
49316MN1070001,Rating Area 2,No Preference,26,323,
49316MN1070001,Rating Area 2,No Preference,27,330.57,
49316MN1070001,Rating Area 2,No Preference,28,342.88,
49316MN1070001,Rating Area 2,No Preference,29,352.97,
49316MN1070001,Rating Area 2,No Preference,30,358.02,
49316MN1070001,Rating Area 2,No Preference,31,365.59,
49316MN1070001,Rating Area 2,No Preference,32,373.16,
49316MN1070001,Rating Area 2,No Preference,33,377.89,
49316MN1070001,Rating Area 2,No Preference,34,382.94,
49316MN1070001,Rating Area 2,No Preference,35,385.46,
49316MN1070001,Rating Area 2,No Preference,36,387.98,
49316MN1070001,Rating Area 2,No Preference,37,390.51,
49316MN1070001,Rating Area 2,No Preference,38,393.03,
49316MN1070001,Rating Area 2,No Preference,39,398.08,
49316MN1070001,Rating Area 2,No Preference,40,403.12,
49316MN1070001,Rating Area 2,No Preference,41,410.69,
49316MN1070001,Rating Area 2,No Preference,42,417.95,
49316MN1070001,Rating Area 2,No Preference,43,428.04,
49316MN1070001,Rating Area 2,No Preference,44,440.66,
49316MN1070001,Rating Area 2,No Preference,45,455.49,
49316MN1070001,Rating Area 2,No Preference,46,473.15,
49316MN1070001,Rating Area 2,No Preference,47,493.02,
49316MN1070001,Rating Area 2,No Preference,48,515.73,
49316MN1070001,Rating Area 2,No Preference,49,538.13,
49316MN1070001,Rating Area 2,No Preference,50,563.36,
49316MN1070001,Rating Area 2,No Preference,51,588.28,
49316MN1070001,Rating Area 2,No Preference,52,615.73,
49316MN1070001,Rating Area 2,No Preference,53,643.49,
49316MN1070001,Rating Area 2,No Preference,54,673.45,
49316MN1070001,Rating Area 2,No Preference,55,703.42,
49316MN1070001,Rating Area 2,No Preference,56,735.91,
49316MN1070001,Rating Area 2,No Preference,57,768.71,
49316MN1070001,Rating Area 2,No Preference,58,803.73,
49316MN1070001,Rating Area 2,No Preference,59,821.07,
49316MN1070001,Rating Area 2,No Preference,60,856.09,
49316MN1070001,Rating Area 2,No Preference,61,886.37,
49316MN1070001,Rating Area 2,No Preference,62,906.24,
49316MN1070001,Rating Area 2,No Preference,63,931.16,
49316MN1070001,Rating Area 2,No Preference,64 and over,946.29,
49316MN1070001,Rating Area 3,No Preference,0-14,291.43,
49316MN1070001,Rating Area 3,No Preference,15,291.43,
49316MN1070001,Rating Area 3,No Preference,16,291.43,
49316MN1070001,Rating Area 3,No Preference,17,291.43,
49316MN1070001,Rating Area 3,No Preference,18,291.43,
49316MN1070001,Rating Area 3,No Preference,19,291.43,
49316MN1070001,Rating Area 3,No Preference,20,291.43,
49316MN1070001,Rating Area 3,No Preference,21,327.45,
49316MN1070001,Rating Area 3,No Preference,22,327.45,
49316MN1070001,Rating Area 3,No Preference,23,327.45,
49316MN1070001,Rating Area 3,No Preference,24,327.45,
49316MN1070001,Rating Area 3,No Preference,25,328.76,
49316MN1070001,Rating Area 3,No Preference,26,335.31,
49316MN1070001,Rating Area 3,No Preference,27,343.17,
49316MN1070001,Rating Area 3,No Preference,28,355.94,
49316MN1070001,Rating Area 3,No Preference,29,366.42,
49316MN1070001,Rating Area 3,No Preference,30,371.66,
49316MN1070001,Rating Area 3,No Preference,31,379.51,
49316MN1070001,Rating Area 3,No Preference,32,387.37,
49316MN1070001,Rating Area 3,No Preference,33,392.29,
49316MN1070001,Rating Area 3,No Preference,34,397.52,
49316MN1070001,Rating Area 3,No Preference,35,400.14,
49316MN1070001,Rating Area 3,No Preference,36,402.76,
49316MN1070001,Rating Area 3,No Preference,37,405.38,
49316MN1070001,Rating Area 3,No Preference,38,408,
49316MN1070001,Rating Area 3,No Preference,39,413.24,
49316MN1070001,Rating Area 3,No Preference,40,418.48,
49316MN1070001,Rating Area 3,No Preference,41,426.34,
49316MN1070001,Rating Area 3,No Preference,42,433.87,
49316MN1070001,Rating Area 3,No Preference,43,444.35,
49316MN1070001,Rating Area 3,No Preference,44,457.45,
49316MN1070001,Rating Area 3,No Preference,45,472.84,
49316MN1070001,Rating Area 3,No Preference,46,491.18,
49316MN1070001,Rating Area 3,No Preference,47,511.8,
49316MN1070001,Rating Area 3,No Preference,48,535.38,
49316MN1070001,Rating Area 3,No Preference,49,558.63,
49316MN1070001,Rating Area 3,No Preference,50,584.83,
49316MN1070001,Rating Area 3,No Preference,51,610.69,
49316MN1070001,Rating Area 3,No Preference,52,639.18,
49316MN1070001,Rating Area 3,No Preference,53,668,
49316MN1070001,Rating Area 3,No Preference,54,699.11,
49316MN1070001,Rating Area 3,No Preference,55,730.21,
49316MN1070001,Rating Area 3,No Preference,56,763.94,
49316MN1070001,Rating Area 3,No Preference,57,798,
