Plan ID*,Rating Area ID*,Tobacco*,Age*,Standard Rate*,Tobacco Rate*
49316MN1070001,Rating Area 3,No Preference,24,332.15,
49316MN1070001,Rating Area 3,No Preference,25,333.48,
49316MN1070001,Rating Area 3,No Preference,26,340.12,
49316MN1070001,Rating Area 3,No Preference,27,348.09,
49316MN1070001,Rating Area 3,No Preference,28,361.05,
49316MN1070001,Rating Area 3,No Preference,29,371.68,
49316MN1070001,Rating Area 3,No Preference,30,376.99,
49316MN1070001,Rating Area 3,No Preference,31,384.96,
49316MN1070001,Rating Area 3,No Preference,32,392.94,
49316MN1070001,Rating Area 3,No Preference,33,397.92,
49316MN1070001,Rating Area 3,No Preference,34,403.23,
49316MN1070001,Rating Area 3,No Preference,35,405.89,
49316MN1070001,Rating Area 3,No Preference,36,408.55,
49316MN1070001,Rating Area 3,No Preference,37,411.2,
49316MN1070001,Rating Area 3,No Preference,38,413.86,
49316MN1070001,Rating Area 3,No Preference,39,419.18,
49316MN1070001,Rating Area 3,No Preference,40,424.49,
49316MN1070001,Rating Area 3,No Preference,41,432.46,
49316MN1070001,Rating Area 3,No Preference,42,440.1,
49316MN1070001,Rating Area 3,No Preference,43,450.73,
49316MN1070001,Rating Area 3,No Preference,44,464.02,
49316MN1070001,Rating Area 3,No Preference,45,479.63,
49316MN1070001,Rating Area 3,No Preference,46,498.23,
49316MN1070001,Rating Area 3,No Preference,47,519.15,
49316MN1070001,Rating Area 3,No Preference,48,543.07,
49316MN1070001,Rating Area 3,No Preference,49,566.65,
49316MN1070001,Rating Area 3,No Preference,50,593.22,
49316MN1070001,Rating Area 3,No Preference,51,619.46,
49316MN1070001,Rating Area 3,No Preference,52,648.36,
49316MN1070001,Rating Area 3,No Preference,53,677.59,
49316MN1070001,Rating Area 3,No Preference,54,709.14,
49316MN1070001,Rating Area 3,No Preference,55,740.7,
49316MN1070001,Rating Area 3,No Preference,56,774.91,
49316MN1070001,Rating Area 3,No Preference,57,809.45,
49316MN1070001,Rating Area 3,No Preference,58,846.32,
49316MN1070001,Rating Area 3,No Preference,59,864.59,
49316MN1070001,Rating Area 3,No Preference,60,901.46,
49316MN1070001,Rating Area 3,No Preference,61,933.35,
49316MN1070001,Rating Area 3,No Preference,62,954.27,
49316MN1070001,Rating Area 3,No Preference,63,980.51,
49316MN1070001,Rating Area 3,No Preference,64 and over,996.45,
49316MN1070001,Rating Area 4,No Preference,0-14,292.36,
49316MN1070001,Rating Area 4,No Preference,15,292.36,
49316MN1070001,Rating Area 4,No Preference,16,292.36,
49316MN1070001,Rating Area 4,No Preference,17,292.36,
49316MN1070001,Rating Area 4,No Preference,18,292.36,
49316MN1070001,Rating Area 4,No Preference,19,292.36,
49316MN1070001,Rating Area 4,No Preference,20,292.36,
49316MN1070001,Rating Area 4,No Preference,21,328.49,
49316MN1070001,Rating Area 4,No Preference,22,328.49,
49316MN1070001,Rating Area 4,No Preference,23,328.49,
49316MN1070001,Rating Area 4,No Preference,24,328.49,
49316MN1070001,Rating Area 4,No Preference,25,329.81,
49316MN1070001,Rating Area 4,No Preference,26,336.38,
49316MN1070001,Rating Area 4,No Preference,27,344.26,
49316MN1070001,Rating Area 4,No Preference,28,357.07,
49316MN1070001,Rating Area 4,No Preference,29,367.59,
49316MN1070001,Rating Area 4,No Preference,30,372.84,
49316MN1070001,Rating Area 4,No Preference,31,380.73,
49316MN1070001,Rating Area 4,No Preference,32,388.61,
49316MN1070001,Rating Area 4,No Preference,33,393.54,
49316MN1070001,Rating Area 4,No Preference,34,398.79,
49316MN1070001,Rating Area 4,No Preference,35,401.42,
49316MN1070001,Rating Area 4,No Preference,36,404.05,
49316MN1070001,Rating Area 4,No Preference,37,406.68,
49316MN1070001,Rating Area 4,No Preference,38,409.3,
49316MN1070001,Rating Area 4,No Preference,39,414.56,
49316MN1070001,Rating Area 4,No Preference,40,419.82,
49316MN1070001,Rating Area 4,No Preference,41,427.7,
49316MN1070001,Rating Area 4,No Preference,42,435.26,
49316MN1070001,Rating Area 4,No Preference,43,445.77,
49316MN1070001,Rating Area 4,No Preference,44,458.91,
49316MN1070001,Rating Area 4,No Preference,45,474.35,
49316MN1070001,Rating Area 4,No Preference,46,492.74,
49316MN1070001,Rating Area 4,No Preference,47,513.44,
49316MN1070001,Rating Area 4,No Preference,48,537.09,
49316MN1070001,Rating Area 4,No Preference,49,560.41,
49316MN1070001,Rating Area 4,No Preference,50,586.69,
49316MN1070001,Rating Area 4,No Preference,51,612.64,
49316MN1070001,Rating Area 4,No Preference,52,641.22,
49316MN1070001,Rating Area 4,No Preference,53,670.13,
49316MN1070001,Rating Area 4,No Preference,54,701.34,
49316MN1070001,Rating Area 4,No Preference,55,732.54,
49316MN1070001,Rating Area 4,No Preference,56,766.38,
49316MN1070001,Rating Area 4,No Preference,57,800.54,
49316MN1070001,Rating Area 4,No Preference,58,837,
49316MN1070001,Rating Area 4,No Preference,59,855.07,
49316MN1070001,Rating Area 4,No Preference,60,891.53,
49316MN1070001,Rating Area 4,No Preference,61,923.07,
49316MN1070001,Rating Area 4,No Preference,62,943.77,
49316MN1070001,Rating Area 4,No Preference,63,969.72,
49316MN1070001,Rating Area 4,No Preference,64 and over,985.47,
49316MN1070001,Rating Area 5,No Preference,0-14,276.09,
49316MN1070001,Rating Area 5,No Preference,15,276.09,
49316MN1070001,Rating Area 5,No Preference,16,276.09,
49316MN1070001,Rating Area 5,No Preference,17,276.09,
49316MN1070001,Rating Area 5,No Preference,18,276.09,
49316MN1070001,Rating Area 5,No Preference,19,276.09,
49316MN1070001,Rating Area 5,No Preference,20,276.09,
49316MN1070001,Rating Area 5,No Preference,21,310.21,
49316MN1070001,Rating Area 5,No Preference,22,310.21,
49316MN1070001,Rating Area 5,No Preference,23,310.21,
49316MN1070001,Rating Area 5,No Preference,24,310.21,
49316MN1070001,Rating Area 5,No Preference,25,311.45,
49316MN1070001,Rating Area 5,No Preference,26,317.66,
49316MN1070001,Rating Area 5,No Preference,27,325.1,
49316MN1070001,Rating Area 5,No Preference,28,337.2,
49316MN1070001,Rating Area 5,No Preference,29,347.13,
49316MN1070001,Rating Area 5,No Preference,30,352.09,
49316MN1070001,Rating Area 5,No Preference,31,359.53,
49316MN1070001,Rating Area 5,No Preference,32,366.98,
49316MN1070001,Rating Area 5,No Preference,33,371.63,
49316MN1070001,Rating Area 5,No Preference,34,376.6,
49316MN1070001,Rating Area 5,No Preference,35,379.08,
49316MN1070001,Rating Area 5,No Preference,36,381.56,
49316MN1070001,Rating Area 5,No Preference,37,384.04,
49316MN1070001,Rating Area 5,No Preference,38,386.52,
49316MN1070001,Rating Area 5,No Preference,39,391.49,
49316MN1070001,Rating Area 5,No Preference,40,396.45,
49316MN1070001,Rating Area 5,No Preference,41,403.89,
49316MN1070001,Rating Area 5,No Preference,42,411.03,
49316MN1070001,Rating Area 5,No Preference,43,420.96,
49316MN1070001,Rating Area 5,No Preference,44,433.36,
49316MN1070001,Rating Area 5,No Preference,45,447.94,
49316MN1070001,Rating Area 5,No Preference,46,465.32,
49316MN1070001,Rating Area 5,No Preference,47,484.86,
49316MN1070001,Rating Area 5,No Preference,48,507.2,
49316MN1070001,Rating Area 5,No Preference,49,529.22,
49316MN1070001,Rating Area 5,No Preference,50,554.04,
