Rating Area ID*,Tobacco*,Age*,Individual Rate*,,Tobacco Rate*
57129MN0220001,Rating Area 3,No Preference,24,265.85,
57129MN0220001,Rating Area 3,No Preference,25,266.92,
57129MN0220001,Rating Area 3,No Preference,26,272.23,
57129MN0220001,Rating Area 3,No Preference,27,278.61,
57129MN0220001,Rating Area 3,No Preference,28,288.98,
57129MN0220001,Rating Area 3,No Preference,29,297.49,
57129MN0220001,Rating Area 3,No Preference,30,301.74,
57129MN0220001,Rating Area 3,No Preference,31,308.12,
57129MN0220001,Rating Area 3,No Preference,32,314.5,
57129MN0220001,Rating Area 3,No Preference,33,318.49,
57129MN0220001,Rating Area 3,No Preference,34,322.74,
57129MN0220001,Rating Area 3,No Preference,35,324.87,
57129MN0220001,Rating Area 3,No Preference,36,327,
57129MN0220001,Rating Area 3,No Preference,37,329.12,
57129MN0220001,Rating Area 3,No Preference,38,331.25,
57129MN0220001,Rating Area 3,No Preference,39,335.5,
57129MN0220001,Rating Area 3,No Preference,40,339.76,
57129MN0220001,Rating Area 3,No Preference,41,346.14,
57129MN0220001,Rating Area 3,No Preference,42,352.25,
57129MN0220001,Rating Area 3,No Preference,43,360.76,
57129MN0220001,Rating Area 3,No Preference,44,371.39,
57129MN0220001,Rating Area 3,No Preference,45,383.89,
57129MN0220001,Rating Area 3,No Preference,46,398.78,
57129MN0220001,Rating Area 3,No Preference,47,415.53,
57129MN0220001,Rating Area 3,No Preference,48,434.67,
57129MN0220001,Rating Area 3,No Preference,49,453.54,
57129MN0220001,Rating Area 3,No Preference,50,474.81,
57129MN0220001,Rating Area 3,No Preference,51,495.81,
57129MN0220001,Rating Area 3,No Preference,52,518.94,
57129MN0220001,Rating Area 3,No Preference,53,542.34,
57129MN0220001,Rating Area 3,No Preference,54,567.59,
57129MN0220001,Rating Area 3,No Preference,55,592.85,
57129MN0220001,Rating Area 3,No Preference,56,620.23,
57129MN0220001,Rating Area 3,No Preference,57,647.88,
57129MN0220001,Rating Area 3,No Preference,58,677.39,
57129MN0220001,Rating Area 3,No Preference,59,692.01,
57129MN0220001,Rating Area 3,No Preference,60,721.52,
57129MN0220001,Rating Area 3,No Preference,61,747.04,
57129MN0220001,Rating Area 3,No Preference,62,763.79,
57129MN0220001,Rating Area 3,No Preference,63,784.79,
57129MN0220001,Rating Area 3,No Preference,64 and over,797.55,
57129MN0220001,Rating Area 4,No Preference,0-14,261.13,
57129MN0220001,Rating Area 4,No Preference,15,261.13,
57129MN0220001,Rating Area 4,No Preference,16,261.13,
57129MN0220001,Rating Area 4,No Preference,17,261.13,
57129MN0220001,Rating Area 4,No Preference,18,261.13,
57129MN0220001,Rating Area 4,No Preference,19,261.13,
57129MN0220001,Rating Area 4,No Preference,20,261.13,
